               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054167,            0.016591,                   0,             0.96896,             0.98617,              0.9866,             0.66374,            0.020378,           0.0064306,                   0,            0.070019,           0.0033312,           0.0033312
                   1,            0.033035,           0.0088969,                   0,             0.98043,              0.9938,             0.98948,             0.75873,            0.015596,           0.0051189,                   0,            0.039579,           0.0062247,           0.0062247
                   2,            0.029051,           0.0075384,                   0,             0.98209,             0.99412,             0.99015,             0.74634,            0.015663,           0.0045946,                   0,           0.0086994,           0.0086782,           0.0086782
                   3,            0.024913,           0.0067188,                   0,             0.98508,             0.99232,             0.98966,             0.79451,            0.013461,           0.0042013,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.021525,           0.0061445,                   0,              0.9893,             0.99356,             0.99133,             0.82301,            0.011752,            0.003762,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.019382,           0.0058186,                   0,             0.99215,             0.99509,             0.99211,             0.84769,            0.010462,           0.0035785,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.017896,           0.0055142,                   0,             0.99189,             0.99499,             0.99068,             0.85163,            0.010413,           0.0034826,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.016805,           0.0053266,                   0,             0.99309,             0.99404,             0.99248,             0.85566,            0.010196,            0.003369,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.015978,           0.0051583,                   0,             0.99371,             0.99547,              0.9925,             0.87222,           0.0095733,            0.003265,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.015175,           0.0050077,                   0,             0.99215,             0.99475,             0.99283,             0.87367,           0.0093133,           0.0031381,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.014603,           0.0049022,                   0,             0.99437,             0.99547,             0.99196,             0.87839,           0.0091727,           0.0031196,                   0,             0.00406,             0.00406,             0.00406
                  11,             0.01419,           0.0047428,                   0,             0.99405,             0.99591,             0.99337,             0.88848,           0.0088038,           0.0030466,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.013624,           0.0046902,                   0,             0.99145,             0.99535,             0.99319,             0.89028,            0.008622,           0.0029876,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.013337,            0.004601,                   0,             0.99394,             0.99571,             0.99326,             0.89215,           0.0086328,           0.0029504,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.012841,           0.0044551,                   0,             0.99392,             0.99571,             0.99337,             0.89527,           0.0084106,           0.0028895,                   0,             0.00142,             0.00142,             0.00142
